Column1,Column2
78,0.3244702155579626
92,0.708120849805364
53,0.9220819466587634
95,0.6872006988004177
82,0.8483210404676829
14,0.5732169686592755
23,0.9349439187234487
82,0.9912261748406827
50,0.05807361563731406
92,0.20888980320040718
10,0.38675904786984694
24,0.2188341475630411
15,0.07876235846009427
98,0.9509989772823162
56,0.5547181932056583
42,0.44492266624666266
72,0.6630002963153788
35,0.0936568858772856
21,0.25856057670708055
63,0.6087830119091131
6,0.014267222411772251
52,0.059349859530667515
36,0.17353614734627654
54,0.28645635871776465
30,0.7526929149776723
15,0.907133730823478
97,0.39445112769781177
63,0.5768834950356376
55,0.2286461788057701
80,0.23435529709972325
13,0.0967778934285386
19,0.40411158787289303
47,0.04712747604264966
96,0.3510607919594906
32,0.7934292355495767
73,0.7894500278977199
3,0.7332661551885976
15,0.6824562927844775
44,0.5584784341383086
20,0.24611049843661137
84,0.7298706115304429
58,0.6737327108414353
84,0.08070381969851725
33,0.3010521528721676
25,0.7500632885772203
73,0.45952365481502633
98,0.7446751374173326
43,0.07544132661218417
10,0.8649753999300754
46,0.013379512025948448
56,0.44625106850074914
52,0.9436537219683747
47,0.18568634091119196
18,0.2203790121400766
0,0.08864769046007637
17,0.12792392377492667
33,0.6697551552859747
97,0.8704073748809991
75,0.40201149932264313
17,0.8283120964201534
89,0.4926905250790692
6,0.8472018403910793
49,0.7946890683226053
82,0.8078306945458296
80,0.9823518471741299
94,0.06986297878809544
32,0.19042455533547975
83,0.8784191767531196
3,0.7482418752884313
4,0.90873882580529
47,0.7142448250507771
86,0.929180663975519
42,0.3678367181623694
60,0.733463093428128
37,0.23453261325032326
0,0.7774145114627734
71,0.49916103919430976
25,0.7553493381784049
23,0.4062815329554017
49,0.07505148044303633
67,0.6363816849608489
3,0.6358038609459107
80,0.33627048422194206
58,0.04597239328504199
95,0.48042621275710384
36,0.04006537123322296
56,0.239463020225553
78,0.5004352773460516
89,0.9860219818648857
98,0.5032058723676979
51,0.4295202925511632
21,0.9638927889894127
51,0.18524780762512683
73,0.2720910388161727
55,0.9471106292534379
21,0.32086247338791707
50,0.14333268662267196
42,0.26096552063734235
14,0.9349704563357241
66,0.9614901159004343
98,0.08055171257870608
30,0.9946413037376186
1,0.3846830310520809
61,0.9455504762018629
46,0.574034722782295
19,0.08421397437766154
24,0.9274759538956455
99,0.4746414842111014
86,0.06282910677175368
31,0.8930487632452121
10,0.783491019583166
90,0.8580952231194813
58,0.27655202177052796
19,0.32198307291203043
79,0.3010033506536903
98,0.42087773494892433
76,0.6266403006387709
37,0.04380367967158205
44,0.9167055890222295
75,0.4626494836085371
55,0.035015567736628395
16,0.6572829340750601
71,0.8776729467170911
22,0.6899254416818846
95,0.2423550940656276
